PROVRES,ANIO,SEXO,EDAD_MIN,POBLACION
2,2005,1,0,21929
2,2005,1,1,190415
2,2005,1,10,95994
2,2005,1,15,99784
2,2005,1,20,111726
2,2005,1,25,116490
2,2005,1,30,117011
2,2005,1,35,105455
2,2005,1,40,85885
2,2005,1,45,78726
2,2005,1,50,76659
2,2005,1,55,70233
2,2005,1,60,63364
2,2005,1,65,53532
2,2005,1,70,42547
2,2005,1,75,32679
2,2005,1,80,43137
2,2005,2,0,20694
2,2005,2,1,181131
2,2005,2,10,94500
2,2005,2,15,101258
2,2005,2,20,116572
2,2005,2,25,122615
2,2005,2,30,123148
2,2005,2,35,112931
2,2005,2,40,95002
2,2005,2,45,90855
2,2005,2,50,92557
2,2005,2,55,88716
2,2005,2,60,84016
2,2005,2,65,75282
2,2005,2,70,65286
2,2005,2,75,56642
2,2005,2,80,101710
2,2006,1,0,21929
2,2006,1,1,190415
2,2006,1,10,95994
2,2006,1,15,99784
2,2006,1,20,111726
2,2006,1,25,116490
2,2006,1,30,117011
2,2006,1,35,105455
2,2006,1,40,85885
2,2006,1,45,78726
2,2006,1,50,76659
2,2006,1,55,70233
2,2006,1,60,63364
2,2006,1,65,53532
2,2006,1,70,42547
2,2006,1,75,32679
2,2006,1,80,43137
2,2006,2,0,20694
2,2006,2,1,181131
2,2006,2,10,94500
2,2006,2,15,101258
2,2006,2,20,116572
2,2006,2,25,122615
2,2006,2,30,123148
2,2006,2,35,112931
2,2006,2,40,95002
2,2006,2,45,90855
2,2006,2,50,92557
2,2006,2,55,88716
2,2006,2,60,84016
2,2006,2,65,75282
2,2006,2,70,65286
2,2006,2,75,56642
2,2006,2,80,101710
2,2007,1,0,21929
2,2007,1,1,190415
2,2007,1,10,95994
2,2007,1,15,99784
2,2007,1,20,111726
2,2007,1,25,116490
2,2007,1,30,117011
2,2007,1,35,105455
2,2007,1,40,85885
2,2007,1,45,78726
2,2007,1,50,76659
2,2007,1,55,70233
2,2007,1,60,63364
2,2007,1,65,53532
2,2007,1,70,42547
2,2007,1,75,32679
2,2007,1,80,43137
2,2007,2,0,20694
2,2007,2,1,181131
2,2007,2,10,94500
2,2007,2,15,101258
2,2007,2,20,116572
2,2007,2,25,122615
2,2007,2,30,123148
2,2007,2,35,112931
2,2007,2,40,95002
2,2007,2,45,90855
2,2007,2,50,92557
2,2007,2,55,88716
2,2007,2,60,84016
2,2007,2,65,75282
2,2007,2,70,65286
2,2007,2,75,56642
2,2007,2,80,101710
2,2008,1,0,21929
2,2008,1,1,190415
2,2008,1,10,95994
2,2008,1,15,99784
2,2008,1,20,111726
2,2008,1,25,116490
2,2008,1,30,117011
2,2008,1,35,105455
2,2008,1,40,85885
2,2008,1,45,78726
2,2008,1,50,76659
2,2008,1,55,70233
2,2008,1,60,63364
2,2008,1,65,53532
2,2008,1,70,42547
2,2008,1,75,32679
2,2008,1,80,43137
2,2008,2,0,20694
2,2008,2,1,181131
2,2008,2,10,94500
2,2008,2,15,101258
2,2008,2,20,116572
2,2008,2,25,122615
2,2008,2,30,123148
2,2008,2,35,112931
2,2008,2,40,95002
2,2008,2,45,90855
2,2008,2,50,92557
2,2008,2,55,88716
2,2008,2,60,84016
2,2008,2,65,75282
2,2008,2,70,65286
2,2008,2,75,56642
2,2008,2,80,101710
2,2009,1,0,21929
2,2009,1,1,190415
2,2009,1,10,95994
2,2009,1,15,99784
2,2009,1,20,111726
2,2009,1,25,116490
2,2009,1,30,117011
2,2009,1,35,105455
2,2009,1,40,85885
2,2009,1,45,78726
2,2009,1,50,76659
2,2009,1,55,70233
2,2009,1,60,63364
2,2009,1,65,53532
2,2009,1,70,42547
2,2009,1,75,32679
2,2009,1,80,43137
2,2009,2,0,20694
2,2009,2,1,181131
2,2009,2,10,94500
2,2009,2,15,101258
2,2009,2,20,116572
2,2009,2,25,122615
2,2009,2,30,123148
2,2009,2,35,112931
2,2009,2,40,95002
2,2009,2,45,90855
2,2009,2,50,92557
2,2009,2,55,88716
2,2009,2,60,84016
2,2009,2,65,75282
2,2009,2,70,65286
2,2009,2,75,56642
2,2009,2,80,101710
2,2010,1,0,21929
2,2010,1,1,190415
2,2010,1,10,95994
2,2010,1,15,99784
2,2010,1,20,111726
2,2010,1,25,116490
2,2010,1,30,117011
2,2010,1,35,105455
2,2010,1,40,85885
2,2010,1,45,78726
2,2010,1,50,76659
2,2010,1,55,70233
2,2010,1,60,63364
2,2010,1,65,53532
2,2010,1,70,42547
2,2010,1,75,32679
2,2010,1,80,43137
2,2010,2,0,20694
2,2010,2,1,181131
2,2010,2,10,94500
2,2010,2,15,101258
2,2010,2,20,116572
2,2010,2,25,122615
2,2010,2,30,123148
2,2010,2,35,112931
2,2010,2,40,95002
2,2010,2,45,90855
2,2010,2,50,92557
2,2010,2,55,88716
2,2010,2,60,84016
2,2010,2,65,75282
2,2010,2,70,65286
2,2010,2,75,56642
2,2010,2,80,101710
2,2011,1,0,21814
2,2011,1,1,191752
2,2011,1,10,95303
2,2011,1,15,98932
2,2011,1,20,109330
2,2011,1,25,116655
2,2011,1,30,117178
2,2011,1,35,107828
2,2011,1,40,88295
2,2011,1,45,78758
2,2011,1,50,76539
2,2011,1,55,70650
2,2011,1,60,63724
2,2011,1,65,54207
2,2011,1,70,43036
2,2011,1,75,32410
2,2011,1,80,43424
2,2011,2,0,20561
2,2011,2,1,182020
2,2011,2,10,93350
2,2011,2,15,99963
2,2011,2,20,113937
2,2011,2,25,122744
2,2011,2,30,123221
2,2011,2,35,115007
2,2011,2,40,97287
2,2011,2,45,90367
2,2011,2,50,92005
2,2011,2,55,89018
2,2011,2,60,84385
2,2011,2,65,76203
2,2011,2,70,65923
2,2011,2,75,56019
2,2011,2,80,101794
2,2012,1,0,21719
2,2012,1,1,192906
2,2012,1,10,95051
2,2012,1,15,97944
2,2012,1,20,106648
2,2012,1,25,117073
2,2012,1,30,116887
2,2012,1,35,109799
2,2012,1,40,91337
2,2012,1,45,78941
2,2012,1,50,76221
2,2012,1,55,71187
2,2012,1,60,63973
2,2012,1,65,54889
2,2012,1,70,43614
2,2012,1,75,32387
2,2012,1,80,43529
2,2012,2,0,20457
2,2012,2,1,182817
2,2012,2,10,92628
2,2012,2,15,98531
2,2012,2,20,110889
2,2012,2,25,123148
2,2012,2,30,122912
2,2012,2,35,116659
2,2012,2,40,100213
2,2012,2,45,90102
2,2012,2,50,91164
2,2012,2,55,89419
2,2012,2,60,84585
2,2012,2,65,77118
2,2012,2,70,66671
2,2012,2,75,55923
2,2012,2,80,101519
2,2013,1,0,21655
2,2013,1,1,193217
2,2013,1,10,95851
2,2013,1,15,96818
2,2013,1,20,104110
2,2013,1,25,117246
2,2013,1,30,116349
2,2013,1,35,111330
2,2013,1,40,94699
2,2013,1,45,79438
2,2013,1,50,75821
2,2013,1,55,71739
2,2013,1,60,64174
2,2013,1,65,55541
2,2013,1,70,44250
2,2013,1,75,32565
2,2013,1,80,43536
2,2013,2,0,20393
2,2013,2,1,182890
2,2013,2,10,92922
2,2013,2,15,96960
2,2013,2,20,107904
2,2013,2,25,123291
2,2013,2,30,122399
2,2013,2,35,117873
2,2013,2,40,103449
2,2013,2,45,90235
2,2013,2,50,90183
2,2013,2,55,89792
2,2013,2,60,84693
2,2013,2,65,77973
2,2013,2,70,67500
2,2013,2,75,56207
2,2013,2,80,101073
2,2014,1,0,21621
2,2014,1,1,192856
2,2014,1,10,97400
2,2014,1,15,95665
2,2014,1,20,102269
2,2014,1,25,116485
2,2014,1,30,115857
2,2014,1,35,112414
2,2014,1,40,97952
2,2014,1,45,80461
