ANIO,descripcion,DEF_AMENABLES,GRUPO
2005,Enfermedad cerebrovascular,9041.00,Cardiovascular
2005,Cardiopatía isquémica (50%),4671.00,Cardiovascular
2005,Hipertensión arterial,1889.00,Cardiovascular
2005,Enf. reumática cardíaca crónica,79.00,Cardiovascular
2005,Anomalías cardiovasculares congénitas,988.00,Congénito
2005,Úlcera péptica,137.00,Digestivo
2005,Colelitiasis y colecistitis,124.00,Digestivo
2005,Hernia abdominal,80.00,Digestivo
2005,Apendicitis,29.00,Digestivo
2005,Diabetes mellitus,365.00,Endócrino/Metabólico
2005,Enfermedades del tiroides,75.00,Endócrino/Metabólico
2005,Accidentes durante atención médica,996.00,Iatrogénico
2005,Septicemia,4456.00,Infecciosas
2005,Tuberculosis y secuelas,533.00,Infecciosas
2005,Infecciones intestinales,134.00,Infecciosas
2005,Tétanos,9.00,Infecciosas
2005,Tos convulsa,8.00,Infecciosas
2005,Muertes perinatales,4884.00,Materno-Perinatal
2005,Muerte materna,289.00,Materno-Perinatal
2005,Ca. mama,3439.00,Neoplasias
2005,Ca. colon y recto,3355.00,Neoplasias
2005,Ca. cuello uterino,815.00,Neoplasias
2005,Leucemia,496.00,Neoplasias
2005,Ca. testículo,132.00,Neoplasias
2005,Ca. cuerpo uterino,126.00,Neoplasias
2005,Enfermedad de Hodgkin,116.00,Neoplasias
2005,Ca. piel (no melanoma),109.00,Neoplasias
2005,Epilepsia,226.00,Neurológico
2005,Neumonía,4340.00,Respiratorio
2005,Enf. respiratorias excl. neumonía e influenza (1-14),167.00,Respiratorio
2005,Influenza,7.00,Respiratorio
2005,Nefritis y nefrosis,2777.00,Urogenital
2005,Hiperplasia benigna de próstata,8.00,Urogenital
2006,Enfermedad cerebrovascular,8779.00,Cardiovascular
2006,Cardiopatía isquémica (50%),4518.50,Cardiovascular
2006,Hipertensión arterial,1761.00,Cardiovascular
2006,Enf. reumática cardíaca crónica,81.00,Cardiovascular
2006,Anomalías cardiovasculares congénitas,984.00,Congénito
2006,Úlcera péptica,169.00,Digestivo
2006,Colelitiasis y colecistitis,149.00,Digestivo
2006,Hernia abdominal,78.00,Digestivo
2006,Apendicitis,40.00,Digestivo
2006,Diabetes mellitus,352.00,Endócrino/Metabólico
2006,Enfermedades del tiroides,64.00,Endócrino/Metabólico
2006,Accidentes durante atención médica,1090.00,Iatrogénico
2006,Septicemia,4421.00,Infecciosas
2006,Tuberculosis y secuelas,534.00,Infecciosas
2006,Infecciones intestinales,148.00,Infecciosas
2006,Tos convulsa,21.00,Infecciosas
2006,Tétanos,2.00,Infecciosas
2006,Muertes perinatales,4368.00,Materno-Perinatal
2006,Muerte materna,341.00,Materno-Perinatal
2006,Ca. mama,3419.00,Neoplasias
2006,Ca. colon y recto,3374.00,Neoplasias
2006,Ca. cuello uterino,855.00,Neoplasias
2006,Leucemia,413.00,Neoplasias
2006,Ca. testículo,161.00,Neoplasias
2006,Ca. cuerpo uterino,147.00,Neoplasias
2006,Ca. piel (no melanoma),121.00,Neoplasias
2006,Enfermedad de Hodgkin,120.00,Neoplasias
2006,Epilepsia,198.00,Neurológico
2006,Neumonía,4536.00,Respiratorio
2006,Enf. respiratorias excl. neumonía e influenza (1-14),200.00,Respiratorio
2006,Influenza,11.00,Respiratorio
2006,Nefritis y nefrosis,2845.00,Urogenital
2006,Hiperplasia benigna de próstata,19.00,Urogenital
2007,Enfermedad cerebrovascular,8530.00,Cardiovascular
2007,Cardiopatía isquémica (50%),4604.50,Cardiovascular
2007,Hipertensión arterial,1808.00,Cardiovascular
2007,Enf. reumática cardíaca crónica,92.00,Cardiovascular
2007,Anomalías cardiovasculares congénitas,986.00,Congénito
2007,Úlcera péptica,169.00,Digestivo
2007,Colelitiasis y colecistitis,120.00,Digestivo
2007,Hernia abdominal,98.00,Digestivo
2007,Apendicitis,38.00,Digestivo
2007,Diabetes mellitus,377.00,Endócrino/Metabólico
2007,Enfermedades del tiroides,66.00,Endócrino/Metabólico
2007,Accidentes durante atención médica,1102.00,Iatrogénico
2007,Septicemia,4591.00,Infecciosas
2007,Tuberculosis y secuelas,507.00,Infecciosas
2007,Infecciones intestinales,117.00,Infecciosas
2007,Tos convulsa,44.00,Infecciosas
2007,Tétanos,1.00,Infecciosas
2007,Muertes perinatales,4533.00,Materno-Perinatal
2007,Muerte materna,333.00,Materno-Perinatal
2007,Ca. mama,3486.00,Neoplasias
2007,Ca. colon y recto,3416.00,Neoplasias
2007,Ca. cuello uterino,866.00,Neoplasias
2007,Leucemia,483.00,Neoplasias
2007,Ca. testículo,159.00,Neoplasias
2007,Ca. cuerpo uterino,148.00,Neoplasias
2007,Ca. piel (no melanoma),141.00,Neoplasias
2007,Enfermedad de Hodgkin,117.00,Neoplasias
2007,Epilepsia,194.00,Neurológico
2007,Neumonía,5212.00,Respiratorio
2007,Enf. respiratorias excl. neumonía e influenza (1-14),200.00,Respiratorio
2007,Influenza,7.00,Respiratorio
2007,Nefritis y nefrosis,3081.00,Urogenital
2007,Hiperplasia benigna de próstata,14.00,Urogenital
2008,Enfermedad cerebrovascular,8420.00,Cardiovascular
2008,Cardiopatía isquémica (50%),4280.00,Cardiovascular
2008,Hipertensión arterial,1810.00,Cardiovascular
2008,Enf. reumática cardíaca crónica,90.00,Cardiovascular
