ANIO,EDAD_MIN,DEF_EVITABLES,EDAD_LABEL
2005,0,6197.50,<1
2005,1,714.50,1-9
2005,10,230.00,10-14
2005,15,299.00,15-19
2005,20,421.50,20-24
2005,25,525.50,25-29
2005,30,662.00,30-34
2005,35,933.00,35-39
2005,40,1538.50,40-44
2005,45,2354.50,45-49
2005,50,3304.00,50-54
2005,55,4413.50,55-59
2005,60,5712.00,60-64
2005,65,7338.00,65-69
2005,70,9734.50,70-74
2005,75,189.00,75-79
2005,80,333.00,80+
2006,0,5786.00,<1
2006,1,717.00,1-9
2006,10,239.50,10-14
2006,15,300.00,15-19
2006,20,430.50,20-24
2006,25,530.50,25-29
2006,30,713.50,30-34
2006,35,1017.00,35-39
2006,40,1492.00,40-44
2006,45,2299.50,45-49
2006,50,3123.00,50-54
2006,55,4552.00,55-59
2006,60,5817.00,60-64
2006,65,7357.50,65-69
2006,70,9463.50,70-74
2006,75,161.00,75-79
2006,80,320.00,80+
2007,0,6005.00,<1
2007,1,710.00,1-9
2007,10,235.00,10-14
2007,15,319.50,15-19
2007,20,441.50,20-24
2007,25,594.00,25-29
2007,30,759.50,30-34
2007,35,1003.00,35-39
2007,40,1535.00,40-44
2007,45,2279.00,45-49
2007,50,3277.00,50-54
2007,55,4727.00,55-59
2007,60,6066.00,60-64
2007,65,7524.00,65-69
2007,70,9627.00,70-74
2007,75,173.00,75-79
2007,80,365.00,80+
2008,0,6141.00,<1
2008,1,667.50,1-9
2008,10,228.50,10-14
2008,15,318.00,15-19
2008,20,401.50,20-24
2008,25,619.50,25-29
2008,30,703.00,30-34
2008,35,967.50,35-39
2008,40,1458.00,40-44
2008,45,2263.50,45-49
2008,50,3263.00,50-54
2008,55,4485.50,55-59
2008,60,5846.00,60-64
2008,65,7345.50,65-69
2008,70,9112.00,70-74
2008,75,177.00,75-79
2008,80,358.00,80+
2009,0,5823.00,<1
2009,1,755.00,1-9
2009,10,226.50,10-14
2009,15,360.50,15-19
2009,20,551.00,20-24
2009,25,687.50,25-29
2009,30,919.50,30-34
2009,35,1232.00,35-39
2009,40,1700.00,40-44
2009,45,2312.00,45-49
2009,50,3327.50,50-54
2009,55,4650.50,55-59
2009,60,6057.00,60-64
2009,65,7243.00,65-69
2009,70,9010.50,70-74
2009,75,134.00,75-79
2009,80,290.00,80+
2010,0,5805.00,<1
2010,1,589.00,1-9
2010,10,186.50,10-14
2010,15,347.00,15-19
2010,20,466.00,20-24
2010,25,578.00,25-29
2010,30,851.00,30-34
2010,35,1060.50,35-39
2010,40,1497.00,40-44
2010,45,2229.00,45-49
2010,50,3014.50,50-54
2010,55,4589.00,55-59
2010,60,6295.00,60-64
2010,65,7567.00,65-69
2010,70,9531.00,70-74
2010,75,117.00,75-79
2010,80,276.00,80+
2011,0,5710.50,<1
2011,1,632.00,1-9
2011,10,218.00,10-14
2011,15,335.50,15-19
2011,20,421.50,20-24
2011,25,580.50,25-29
2011,30,810.50,30-34
2011,35,1114.50,35-39
2011,40,1552.50,40-44
2011,45,2144.50,45-49
2011,50,3096.00,50-54
2011,55,4500.50,55-59
2011,60,6121.50,60-64
2011,65,7565.50,65-69
2011,70,9294.00,70-74
2011,75,142.00,75-79
2011,80,338.00,80+
2012,0,5222.00,<1
2012,1,604.00,1-9
2012,10,225.50,10-14
2012,15,354.50,15-19
2012,20,449.00,20-24
2012,25,566.00,25-29
2012,30,830.50,30-34
2012,35,1171.50,35-39
2012,40,1522.50,40-44
2012,45,2290.50,45-49
2012,50,3101.50,50-54
2012,55,4686.50,55-59
2012,60,6256.00,60-64
2012,65,7840.00,65-69
2012,70,9629.00,70-74
2012,75,131.00,75-79
2012,80,340.00,80+
2013,0,5463.00,<1
2013,1,613.50,1-9
2013,10,209.00,10-14
2013,15,327.50,15-19
2013,20,441.50,20-24
2013,25,589.50,25-29
2013,30,869.00,30-34
2013,35,1255.50,35-39
2013,40,1725.00,40-44
2013,45,2274.50,45-49
2013,50,3137.50,50-54
2013,55,4668.50,55-59
2013,60,6614.50,60-64
2013,65,8427.50,65-69
2013,70,9963.00,70-74
2013,75,144.00,75-79
2013,80,377.00,80+
2014,0,5363.00,<1
2014,1,605.00,1-9
2014,10,213.00,10-14
2014,15,345.50,15-19
