ANIO,total_muertes,muertes_R,n_provincias,pct_causa_R
2005,291468,21595,24,7.41
2006,290743,20748,24,7.14
2007,313671,24702,24,7.88
2008,300069,24521,24,8.17
2009,301799,25862,24,8.57
2010,316272,26524,24,8.39
2011,316877,26470,24,8.35
2012,317547,25093,24,7.9
2013,324471,25883,24,7.98
2014,323816,23187,24,7.16
2015,330628,19302,24,5.84
2016,349290,22461,24,6.43
2017,338166,20344,24,6.02
2018,333425,21668,24,6.5
2019,337483,22941,24,6.8
2020,369397,23339,24,6.32
2021,431797,25131,24,5.82
2022,394916,27102,24,6.86
2023,351053,25006,24,7.12
2024,373646,28799,24,7.71
