ANIO,PROVRES,PROV_NOMBRE,SEXO,TASA_STD,DEF_AMENABLES,POB_TOTAL,TASA_CRUDA_TOTAL,IC_INF,IC_SUP
2005,2,CABA,1,131.7317,2182.5000,1405566,155.2755,126.2623,137.3770
2005,2,CABA,2,91.3291,1953.0000,1622915,120.3390,87.3230,95.4715
2005,6,Buenos Aires,1,121.5482,9599.0000,7678592,125.0099,119.1287,124.0046
2005,6,Buenos Aires,2,87.5653,7696.5000,8038350,95.7473,85.6198,89.5439
2005,10,Catamarca,1,119.6102,205.0000,136208,150.5051,103.7952,137.1532
2005,10,Catamarca,2,94.4629,167.5000,181249,92.4143,80.6978,109.9022
2005,14,Córdoba,1,108.6040,1864.0000,1642300,113.4994,103.7291,113.6489
2005,14,Córdoba,2,82.6040,1578.5000,1730725,91.2046,78.5787,86.7820
2005,18,Corrientes,1,143.0525,670.5000,501452,133.7117,132.4277,154.3028
2005,18,Corrientes,2,120.7960,594.5000,507343,117.1791,111.2795,130.9088
2005,22,Chaco,1,151.3576,717.5000,534347,134.2760,140.4835,162.8500
2005,22,Chaco,2,126.5827,634.0000,545670,116.1874,116.9196,136.8313
2005,26,Chubut,1,120.4605,277.0000,250670,110.5038,106.6903,135.5146
2005,26,Chubut,2,86.2134,210.5000,213431,98.6267,74.9588,98.6806
2005,30,Entre Ríos,1,121.9711,761.0000,615107,123.7183,113.4577,130.9540
2005,30,Entre Ríos,2,87.4878,599.5000,640467,93.6036,80.6235,94.7802
2005,34,Formosa,1,156.1652,401.0000,275092,145.7694,141.2519,172.2245
2005,34,Formosa,2,145.2047,366.5000,276534,132.5334,130.7169,160.8593
2005,38,Jujuy,1,114.2445,341.5000,336954,101.3491,102.4471,127.0277
2005,38,Jujuy,2,100.0668,322.0000,346559,92.9135,89.4338,111.6160
2005,42,La Pampa,1,109.0228,195.5000,112981,173.0379,94.2743,125.4239
2005,42,La Pampa,2,72.5891,130.5000,125341,104.1160,60.6687,86.1661
2005,46,La Rioja,1,127.7126,191.5000,170647,112.2200,110.2628,147.1390
2005,46,La Rioja,2,105.6523,164.0000,125014,131.1853,90.0999,123.1178
2005,50,Mendoza,1,104.5196,918.5000,869428,105.6442,97.8684,111.5037
2005,50,Mendoza,2,84.1693,824.5000,905309,91.0739,78.5212,90.1163
2005,54,Misiones,1,130.6817,632.0000,545243,115.9116,120.6903,141.2796
2005,54,Misiones,2,99.9464,484.5000,541339,89.5003,91.2435,109.2554
2005,58,Neuquén,1,82.4694,205.5000,255811,80.3327,71.5781,94.5494
2005,58,Neuquén,2,63.4650,170.5000,283246,60.1950,54.2954,73.7394
2005,62,Río Negro,1,74.1868,232.5000,288247,80.6600,64.9561,84.3613
2005,62,Río Negro,2,57.5212,186.5000,312531,59.6741,49.5612,66.3957
2005,66,Salta,1,143.8407,766.5000,598928,127.9787,133.8364,154.3949
